"", "Provincia","Estadillo","Sp","RGR","B_IFN2","B_IFN3","BP","AB3_Mgha_perc","geometry1","geometry2"
"60","Almeria","0923","Quercus ilex",44.2110535034446,15.397057615166,26.9248496895027,0.960649339528054,81.1576540939311,c(-2.84189167750886, 37.1185019154155)
"61","Almeria","0924","Pinus halepensis",37.4009841634542,3.12364486780118,4.8930330008969,0.14744901109131,57.4653348906771,c(-2.83105206272681, 37.1183427367902)
"62","Almeria","0925","Pinus pinaster",128.962047974462,1.48256678820362,6.96793894723092,0.457114346585608,100,c(-2.76330027068584, 37.1181366906434)
"63","Almeria","0928","Pinus nigra",14.3806304013193,55.5591346588017,66.8023531970283,0.936934878185549,55.3500002627523,c(-2.83116280916616, 37.1090221643453)
"64","Almeria","0931","Pinus nigra",22.5892017630785,35.9575591070362,47.0352774288275,0.923143193482615,71.5803002674056,c(-2.79752040332941, 37.1094201998561)
"65","Almeria","0932","Pinus pinaster",32.4162488510699,44.0073367477463,65.7817326592419,1.81453299262463,100,c(-2.7747288055921, 37.1094241602432)
"66","Almeria","0933","Pinus pinaster",62.0532286663716,12.2827358368633,27.3280790212036,1.25377859869502,100,c(-2.76369937716495, 37.1092404362905)
"67","Almeria","0935","Pinus pinaster",36.4502334419133,48.5176388146789,75.1707434882733,2.22109205613287,65.3691170042017,c(-2.84280869479039, 37.0996272862446)
"68","Almeria","0944","Quercus ilex",9.52661618564691,8.26553685443553,9.21785530522232,0.0793598708988983,100,c(-2.77460307610478, 37.0910799065243)
"69","Almeria","0945","Quercus ilex",45.1946816867934,8.55347664589467,15.464165054436,0.57589070071178,100,c(-2.76371046670954, 37.0911758892752)
"70","Almeria","0946","Quercus ilex",21.3421104046883,7.52684258408593,9.86176710271185,0.194577043218826,100,c(-2.72967292893197, 37.0909048725952)
"71","Almeria","0947","Quercus ilex",28.1360015781077,3.97041034676556,5.57504250304582,0.133719346356688,100,c(-2.71808223911033, 37.0911122563918)
"72","Almeria","0948","Quercus ilex",55.6144407206115,9.57929200181463,18.3050958579165,0.727150321341821,100,c(-2.70685146311421, 37.091346440213)
"73","Almeria","0949","Pinus halepensis",104.872554872145,2.95084182256416,10.9843969644927,0.669462928494046,57.6810841647208,c(-2.69581375236688, 37.0911203286318)
"74","Almeria","0950","Quercus ilex",19.9364940169925,4.76772754985772,6.05635246225139,0.107385409366139,100,c(-2.68465174260889, 37.0910370874274)
"75","Almeria","0953","Pinus sylvestris",45.8033174998375,26.7957840407655,46.5146699640288,1.64324049360527,100,c(-2.80884227814083, 37.0828468981711)
"76","Almeria","0955","Pinus nigra",17.5628203011401,16.346267782754,20.2137696987945,0.322291826336708,100,c(-2.78609397723568, 37.0822852232051)
"77","Almeria","0957","Quercus ilex",-2.39374579510502,142.363023197459,136.286828438154,-0.506349563275378,100,c(-2.76353536884785, 37.0823415493274)
